season, method , bottom2_save, rank_tie_method, n_weeks, weekly_agreement_rate, elim_vote_share_mean, elim_vote_share_pctile
     6, percent, False       ,                ,      10,   1.0                , 0.022099904832430156,    0.1525793650793651
     6, percent, True        ,                ,      10,   0.6                , 0.043532414672275366,    0.19232804232804232
     6, rank   , False       , average        ,      10,   0.8                , 0.03834287196929964 ,    0.16723356009070295
     6, rank   , False       , min            ,      10,   0.8                , 0.03834287196929964 ,    0.16723356009070295
     6, rank   , True        , average        ,      10,   0.6                , 0.043532414672275366,    0.19232804232804232
     6, rank   , True        , min            ,      10,   0.6                , 0.043532414672275366,    0.19232804232804232
     7, percent, False       ,                ,      10,   0.6                , 0.019613214069977347,    0.11506549006549006
     7, percent, True        ,                ,      10,   0.3                , 0.04068108368664975 ,    0.1486013986013986
     7, rank   , False       , average        ,      10,   0.7                , 0.0260084623470902  ,    0.14205239205239203
     7, rank   , False       , min            ,      10,   0.7                , 0.0260084623470902  ,    0.14205239205239203
     7, rank   , True        , average        ,      10,   0.3                , 0.04068108368664975 ,    0.1486013986013986
     7, rank   , True        , min            ,      10,   0.2                , 0.05351823568344115 ,    0.23076923076923078
     8, percent, False       ,                ,      11,   1.0                , 0.01979215815663332 ,    0.1435838852505519
     8, percent, True        ,                ,      11,   0.45454545454545453, 0.052236652933061074,    0.1927968856540285
     8, rank   , False       , average        ,      11,   0.7272727272727273 , 0.029901796136982687,    0.17318861693861692
     8, rank   , False       , min            ,      11,   0.7272727272727273 , 0.029901796136982687,    0.17318861693861692
     8, rank   , True        , average        ,      11,   0.45454545454545453, 0.0597835058967272  ,    0.23203601953601952
     8, rank   , True        , min            ,      11,   0.45454545454545453, 0.0597835058967272  ,    0.23203601953601952
     9, percent, False       ,                ,      10,   0.5                , 0.01495052687823766 ,    0.09782983220483221
     9, percent, True        ,                ,      10,   0.4                , 0.01641577994450919 ,    0.09921398046398047
     9, rank   , False       , average        ,      10,   0.8                , 0.01403252733871335 ,    0.11628044574473147
     9, rank   , False       , min            ,      10,   0.8                , 0.01403252733871335 ,    0.11628044574473147
     9, rank   , True        , average        ,      10,   0.4                , 0.02344062505289905 ,    0.12996985653235654
     9, rank   , True        , min            ,      10,   0.4                , 0.02344062505289905 ,    0.12996985653235654
    10, percent, False       ,                ,      10,   0.8                , 0.02817566719438343 ,    0.1682075860647289
    10, percent, True        ,                ,      10,   0.4                , 0.0551537256687879  ,    0.22604617604617605
    10, rank   , False       , average        ,      10,   0.4                , 0.07550375846525027 ,    0.24485329485329485
    10, rank   , False       , min            ,      10,   0.4                , 0.07550375846525027 ,    0.24485329485329485
    10, rank   , True        , average        ,      10,   0.4                , 0.0551537256687879  ,    0.22604617604617605
    10, rank   , True        , min            ,      10,   0.4                , 0.0551537256687879  ,    0.22604617604617605
    11, percent, False       ,                ,      10,   1.0                , 0.020856355627377768,    0.14109748276414943
    11, percent, True        ,                ,      10,   0.7                , 0.06219715299084775 ,    0.18700847763347764
    11, rank   , False       , average        ,      10,   0.7                , 0.04357276218278062 ,    0.19025458668315812
    11, rank   , False       , min            ,      10,   0.7                , 0.04357276218278062 ,    0.19025458668315812
    11, rank   , True        , average        ,      10,   0.6                , 0.08288378641009324 ,    0.22596887239744382
    11, rank   , True        , min            ,      10,   0.6                , 0.08288378641009324 ,    0.22596887239744382
    12, percent, False       ,                ,      10,   1.0                , 0.022956519154831725,    0.14831800144300145
    12, percent, True        ,                ,      10,   0.8                , 0.03342031474624357 ,    0.16474438260152544
    12, rank   , False       , average        ,      10,   0.8                , 0.03342031474624357 ,    0.16474438260152544
    12, rank   , False       , min            ,      10,   1.0                , 0.022956519154831725,    0.14831800144300145
