season,celebrity_name,predicted_final_rank,predicted_final_score,predicted_alpha_i,predicted_judge_pct,predicted_fan_pct,actual_placement
15,Melissa Rycroft            ,1,,,0.3356639275509422,0.0,1
15,Kelly Monaco               ,2,,,0.3331212530739241,0.0,3
15,Shawn Johnson              ,3,,,0.3312148193751337,0.0,2
15,Apolo Anton Ohno           ,4,,,0.0,0.0,5
15,Bristol Palin              ,5,,,0.0,0.0,9
15,Drew Lachey                ,6,,,0.0,0.0,11
15,Emmitt Smith               ,7,,,0.0,0.0,4
15,Gilles Marini              ,8,,,0.0,0.0,6
15,Helio Castroneves          ,9,,,0.0,0.0,10
15,Joey Fatone                ,10,,,0.0,0.0,12
15,Kirstie Alley              ,11,,,0.0,0.0,7
15,Pamela Anderson            ,12,,,0.0,0.0,13
15,Sabrina Bryan              ,13,,,0.0,0.0,8
16,Kellie Pickler             ,1,,,0.256410475564509,0.0,1
16,Zendaya                    ,2,,,0.256410475564509,0.0,2
16,Alexandra Raisman          ,3,,,0.24786345971235874,0.0,4
16,Jacoby Jones               ,4,,,0.2393155891586232,0.0,3
16,Andy Dick                  ,5,,,0.0,0.0,7
16,D. L. Hughley              ,6,,,0.0,0.0,9
16,Dorothy Hamill             ,7,,,0.0,0.0,12
16,Ingo Rademacher            ,8,,,0.0,0.0,5
16,Lisa Vanderpump            ,9,,,0.0,0.0,10
16,Sean Lowe                  ,10,,,0.0,0.0,6
16,Victor Ortiz               ,11,,,0.0,0.0,8
16,Wynonna Judd               ,12,,,0.0,0.0,11
17,Amber Riley                ,1,,,0.273653835740624,0.0,1
17,Corbin Bleu                ,2,,,0.25909655421775135,0.0,2
17,Jack Osbourne              ,3,,,0.24454189279594477,0.0,3
17,Bill Engvall               ,4,,,0.22270771724567986,0.0,4
17,Bill Nye                   ,5,,,0.0,0.0,11
17,Brant Daugherty            ,6,,,0.0,0.0,7
17,Christina Milian           ,7,,,0.0,0.0,9
17,Elizabeth Berkley Lauren   ,8,,,0.0,0.0,6
17,Keyshawn Johnson           ,9,,,0.0,0.0,12
17,Leah Remini                ,10,,,0.0,0.0,5
17,"Nicole ""Snooki"" Polizzi",11,,,0.0,0.0,8
17,Valerie Harper             ,12,,,0.0,0.0,10
18,Meryl Davis                ,1,,,0.2616285154151521,0.0,1
18,Amy Purdy                  ,2,,,0.2587209505138384,0.0,2
18,James Maslow               ,3,,,0.2529075649013137,0.0,4
18,Candace Cameron Bure       ,4,,,0.22674296916969572,0.0,3
18,Billy Dee Williams         ,5,,,0.0,0.0,10
18,Charlie White              ,6,,,0.0,0.0,5
18,Cody Simpson               ,7,,,0.0,0.0,9
18,Danica McKellar            ,8,,,0.0,0.0,6
18,Diana Nyad                 ,9,,,0.0,0.0,12
18,Drew Carey                 ,10,,,0.0,0.0,8
18,NeNe Leakes                ,11,,,0.0,0.0,7
18,Sean Avery                 ,12,,,0.0,0.0,11
19,Alfonso Ribeiro            ,1,,,0.25586408499804897,0.0,1
19,Sadie Robertson            ,2,,,0.25159883070113154,0.0,2
19,Janel Parrish              ,3,,,0.24946620355267282,0.0,3
19,Bethany Mota               ,4,,,0.24307088074814653,0.0,4
19,Antonio Sabato Jr.         ,5,,,0.0,0.0,8
19,Betsey Johnson             ,6,,,0.0,0.0,10
19,Jonathan Bennett           ,7,,,0.0,0.0,9
19,Lea Thompson               ,8,,,0.0,0.0,6
19,Lolo Jones                 ,9,,,0.0,0.0,13
19,Michael Waltrip            ,10,,,0.0,0.0,7
19,Randy Couture              ,11,,,0.0,0.0,11
19,Tavis Smiley               ,12,,,0.0,0.0,12
19,Tommy Chong                ,13,,,0.0,0.0,5
20,Riker Lynch                ,1,,,0.3448275862068966,0.0,2
20,Rumer Willis               ,2,,,0.3448275862068966,0.0,1
20,Noah Galloway              ,3,,,0.3103448275862069,0.0,3
20,Charlotte McKinney         ,4,,,0.0,0.0,11
20,Chris Soules               ,5,,,0.0,0.0,5
20,Michael Sam                ,6,,,0.0,0.0,10
20,Nastia Liukin              ,7,,,0.0,0.0,4
20,Patti LaBelle              ,8,,,0.0,0.0,8
20,Redfoo                     ,9,,,0.0,0.0,12
20,Robert Herjavec            ,10,,,0.0,0.0,6
20,Suzanne Somers             ,11,,,0.0,0.0,9
20,Willow Shields             ,12,,,0.0,0.0,7
