season,week,method,celebrity_name,judge_total,bayes_vote_share,bayes_vote_share_sd,p_eliminated_mc,elim_after_week_true
3,6,percent,Joey Lawrence,24.0,0.2440206557512283,0.069651648402214,0.0,False
3,6,percent,Mario Lopez,28.0,0.249559685587883,0.069514662027359,0.0,False
3,6,percent,Monique Coleman,23.0,0.1718533337116241,0.0551148317754268,0.0055,False
3,7,percent,Emmitt Smith,28.5,0.251140683889389,0.0513847433030605,0.0,False
3,7,percent,Jerry Springer,23.0,0.0274672824889421,0.0088537260890007,1.0,True
3,7,percent,Joey Lawrence,28.5,0.2800855040550232,0.0561436153948307,0.0,False
3,7,percent,Mario Lopez,28.0,0.2870529890060425,0.0487383715808391,0.0,False
3,7,percent,Monique Coleman,27.0,0.1542534530162811,0.0409119501709938,0.0,False
3,8,percent,Emmitt Smith,27.0,0.3292051553726196,0.0561431013047695,0.0,False
3,8,percent,Joey Lawrence,27.0,0.3268425762653351,0.0526204705238342,0.0,False
3,8,percent,Mario Lopez,28.5,0.2961280941963196,0.0524502210319042,0.0,False
3,8,percent,Monique Coleman,26.5,0.0478241108357906,0.0111405337229371,1.0,True
3,9,percent,Emmitt Smith,29.5,0.3413833975791931,0.088410660624504,0.311,False
3,9,percent,Joey Lawrence,29.5,0.3289424777030945,0.0894839987158775,0.3425,False
3,9,percent,Mario Lopez,29.5,0.3296740353107452,0.0910862758755683,0.3465,False
4,1,percent,Apolo Anton Ohno,21.0,0.0974737927317619,0.0241938605904579,0.0005,False
4,1,percent,Billy Ray Cyrus,13.0,0.1003915965557098,0.0282119736075401,0.1685,False
4,1,percent,Clyde Drexler,16.0,0.1037004068493843,0.026323789730668,0.038,False
4,1,percent,Heather Mills,18.0,0.0909060388803482,0.0208407621830701,0.021,False
4,1,percent,Ian Ziering,21.0,0.1017989143729209,0.0240777172148227,0.001,False
4,1,percent,Joey Fatone,24.0,0.1007715612649917,0.0235649049282073,0.0,False
4,1,percent,John Ratzenberger,17.0,0.1039844825863838,0.0248220805078744,0.013,False
4,1,percent,Laila Ali,23.0,0.0991526022553443,0.0253865625709295,0.0,False
4,1,percent,Leeza Gibbons,15.0,0.0833802819252014,0.0206639748066663,0.207,False
4,1,percent,Paulina Porizkova,19.0,0.0519238747656345,0.0171772819012403,0.4285,False
4,1,percent,Shandi Finnessey,19.0,0.0665164068341255,0.0168659556657075,0.1225,False
4,2,percent,Apolo Anton Ohno,26.0,0.1117803379893302,0.0330813750624656,0.0,False
